,Manufacturer,Category,Screen,GPU,OS,CPU_core,Screen_Size_cm,CPU_frequency,RAM_GB,Storage_GB_SSD,Weight_kg,Price
0,Acer,4,IPS Panel,2,1,5,35.56,1.6,8,256,1.6,978
1,Dell,3,Full HD,1,1,3,39.624,2.0,4,256,2.2,634
2,Dell,3,Full HD,1,1,7,39.624,2.7,8,256,2.2,946
3,Dell,4,IPS Panel,2,1,5,33.782,1.6,8,128,1.22,1244
4,HP,4,Full HD,2,1,7,39.624,1.8,8,256,1.91,837
5,Dell,3,Full HD,1,1,5,39.624,1.6,8,256,2.2,1016
6,HP,3,Full HD,3,1,5,39.624,1.6,8,256,2.1,1117
7,Acer,3,IPS Panel,2,1,5,38.1,1.6,4,256,2.2,866
8,Dell,3,Full HD,1,1,5,39.624,2.5,4,256,2.3,812
9,Acer,3,IPS Panel,3,1,7,38.1,1.8,8,256,2.2,1068
10,Dell,3,Full HD,1,1,7,39.624,1.8,8,256,2.13,975
11,HP,3,Full HD,2,1,3,39.624,2.0,4,128,1.91,558
12,Asus,3,Full HD,2,2,3,39.624,2.0,4,256,2,527
13,Dell,4,Full HD,2,1,5,35.56,1.6,8,256,1.7,1117
14,Asus,3,Full HD,2,1,5,35.56,1.6,8,256,1.4,1195
15,HP,3,Full HD,2,1,5,39.624,2.5,8,256,1.86,876
16,Dell,4,IPS Panel,1,1,7,33.02,1.8,8,256,1.4,1213
17,Dell,3,Full HD,1,1,7,39.624,1.8,8,256,2.2,1105
18,Dell,4,IPS Panel,2,1,5,38.1,1.6,8,256,1.88,1392
19,HP,3,Full HD,2,1,5,35.56,1.6,8,256,1.63,1092
20,HP,4,IPS Panel,3,1,7,38.1,1.8,8,256,1.83,888
21,HP,3,Full HD,2,1,5,39.624,2.5,8,256,1.96,761
22,Dell,4,IPS Panel,2,1,7,33.02,1.8,8,256,1.21,2095
23,Dell,1,Full HD,3,1,5,39.624,2.5,8,256,2.65,1518
24,Asus,4,Full HD,2,1,7,35.56,2.7,8,256,1.25,1333
25,Dell,3,Full HD,1,2,3,39.624,2.0,4,256,2.2,616
26,Asus,3,Full HD,3,1,3,39.624,2.4,6,256,2,733
27,HP,3,Full HD,1,1,7,39.624,2.7,8,256,1.91,913
28,HP,4,IPS Panel,3,1,7,33.02,2.7,8,256,1.38,1421
